Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:25:31,0,0,0.00,0.00,4
19:25:33,6.234,300,2.08,0.01,4
19:25:35,6.234,300,2.08,0.00,4
19:25:37,6.234,300,2.08,0.03,4
19:25:39,6.234,300,2.08,0.02,4
19:25:41,6.234,300,2.08,0.00,4
19:25:43,62.14,300,20.71,25.19,4
19:25:45,62.3,300,20.77,0.54,4
19:25:47,62.3,300,20.77,0.21,4
19:25:49,63.16,300,21.05,24.55,4
19:25:51,63.16,300,21.05,0.23,4
19:25:53,63.18,300,21.06,0.42,4
19:25:55,63.2,300,21.07,0.90,4
19:25:57,63.21,300,21.07,0.42,4
19:25:59,63.21,300,21.07,0.57,4

