Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:21:14,0,0,0.00,0.00,4
19:21:16,6.461,300,2.15,0.01,4
19:21:18,6.461,300,2.15,0.00,4
19:21:20,6.461,300,2.15,0.01,4
19:21:22,6.461,300,2.15,0.02,4
19:21:24,6.461,300,2.15,0.02,4
19:21:26,58.59,300,19.53,0.82,4
19:21:28,58.6,300,19.53,0.31,4
19:21:30,58.6,300,19.53,0.31,4
19:21:32,58.61,300,19.54,0.37,4
19:21:34,58.67,300,19.56,0.20,4
19:21:36,58.67,300,19.56,0.44,4
19:21:38,58.67,300,19.56,0.37,4
19:21:40,58.67,300,19.56,0.25,4
19:21:42,58.67,300,19.56,0.21,4
19:21:44,58.67,300,19.56,0.19,4
