Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:23:53,6.195,300,2.07,0.01,4
19:23:55,6.195,300,2.07,0.02,4
19:23:57,6.195,300,2.07,0.02,4
19:23:59,6.195,300,2.07,0.00,4
19:24:1,6.195,300,2.07,0.00,4
19:24:3,59.32,300,19.77,59.47,4
19:24:5,59.33,300,19.78,1.02,4
19:24:7,59.33,300,19.78,0.40,4
19:24:9,59.76,300,19.92,0.59,4
19:24:11,59.76,300,19.92,0.30,4
19:24:13,59.8,300,19.93,0.77,4
19:24:15,59.78,300,19.93,0.38,4
19:24:17,59.79,300,19.93,0.49,4
19:24:19,59.79,300,19.93,0.17,4
