Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:57:7,6.156,300,2.05,0.01,4
19:57:9,6.156,300,2.05,0.01,4
19:57:11,6.156,300,2.05,0.07,4
19:57:13,6.156,300,2.05,0.02,4
19:57:15,6.156,300,2.05,0.00,4
19:57:17,6.156,300,2.05,0.00,4
19:57:19,17.43,300,5.81,55.39,4
19:57:21,72.62,300,24.21,67.41,4
19:57:23,72.69,300,24.23,3.13,4
19:57:25,72.57,300,24.19,0.39,4
19:57:27,72.59,300,24.20,0.99,4
19:57:29,73.75,300,24.58,148.18,4
19:57:32,74.31,300,24.77,41.48,4
19:57:34,75.56,300,25.19,180.61,4
19:57:36,76.11,300,25.37,3.90,4
19:57:38,76.32,300,25.44,12.81,4
