Timestamp,Uso de memória (MiB),Limite de memória (MiB),% de uso memória,% de uso de CPU,Qnt de cores de CPU
19:18:18,6.27,300,2.09,0.02,4
19:18:20,6.27,300,2.09,0.02,4
19:18:22,6.27,300,2.09,0.02,4
19:18:24,6.27,300,2.09,0.00,4
19:18:26,6.27,300,2.09,0.00,4
19:18:28,21.23,300,7.08,97.93,4
19:18:30,79.57,300,26.52,84.72,4
19:18:32,79.64,300,26.55,13.17,4
19:18:34,79.71,300,26.57,0.25,4
19:18:36,79.51,300,26.50,2.46,4
19:18:38,79.51,300,26.50,0.20,4
19:18:40,79.75,300,26.58,1.09,4
19:18:42,79.59,300,26.53,2.02,4
19:18:44,81.8,300,27.27,140.67,4
19:18:47,82.71,300,27.57,195.05,4
19:18:49,84.09,300,28.03,222.01,4
19:18:51,85.82,300,28.61,224.92,4
19:18:53,86.68,300,28.89,52.11,4
19:18:55,86.34,300,28.78,24.13,4
19:18:57,61.51,300,20.50,11.87,4
19:18:59,61.5,300,20.50,0.00,4
19:18:1,61.5,300,20.50,0.00,4
